Formula	Result	ResultType	ResultMatchRule	Priority:Int	CourseName
草莓	strawberry	String	^[a-zA-Z\s\-]+$	1	英语
菠萝	pineapple	String	^[a-zA-Z\s\-]+$	1	英语
教室	classroom	String	^[a-zA-Z\s\-]+$	1	英语
门	door	String	^[a-zA-Z\s\-]+$	1	英语
窗	window	String	^[a-zA-Z\s\-]+$	1	英语
黑板	blackboard	String	^[a-zA-Z\s\-]+$	1	英语
墙	wall	String	^[a-zA-Z\s\-]+$	1	英语
课桌	desk	String	^[a-zA-Z\s\-]+$	1	英语
椅子	chair	String	^[a-zA-Z\s\-]+$	1	英语
男孩	boy	String	^[a-zA-Z\s\-]+$	1	英语
女孩	girl	String	^[a-zA-Z\s\-]+$	1	英语
在...里面	in	String	^[a-zA-Z\s\-]+$	1	英语
在...上面	on	String	^[a-zA-Z\s\-]+$	1	英语
在...下面	under	String	^[a-zA-Z\s\-]+$	1	英语
在...后面	behind	String	^[a-zA-Z\s\-]+$	1	英语
to	next	String	^[a-zA-Z\s\-]+$	1	英语
哪里	where	String	^[a-zA-Z\s\-]+$	1	英语
房间	room	String	^[a-zA-Z\s\-]+$	1	英语
关门	closet	String	^[a-zA-Z\s\-]+$	1	英语
电话	telephone	String	^[a-zA-Z\s\-]+$	1	英语
电脑	computer	String	^[a-zA-Z\s\-]+$	1	英语
电视	TV	String	^[a-zA-Z\s\-]+$	1	英语
床	bed	String	^[a-zA-Z\s\-]+$	1	英语
图片	picture	String	^[a-zA-Z\s\-]+$	1	英语
桌子	table	String	^[a-zA-Z\s\-]+$	1	英语
台灯	lamp	String	^[a-zA-Z\s\-]+$	1	英语
沙发	armchair	String	^[a-zA-Z\s\-]+$	1	英语
玩具	toys	String	^[a-zA-Z\s\-]+$	1	英语
飞机	plane	String	^[a-zA-Z\s\-]+$	1	英语
小船	boat	String	^[a-zA-Z\s\-]+$	1	英语
火车	train	String	^[a-zA-Z\s\-]+$	1	英语
球	ball	String	^[a-zA-Z\s\-]+$	1	英语
泰迪熊	teddy bear	String	^[a-zA-Z\s\-]+$	1	英语
公交车	bus	String	^[a-zA-Z\s\-]+$	1	英语
汽车	car	String	^[a-zA-Z\s\-]+$	1	英语
玩偶	doll	String	^[a-zA-Z\s\-]+$	1	英语
纸风车	pinwheel	String	^[a-zA-Z\s\-]+$	1	英语
箱子	box	String	^[a-zA-Z\s\-]+$	1	英语
形状	Shapes	String	^[a-zA-Z\s\-]+$	1	英语
圆形	circle	String	^[a-zA-Z\s\-]+$	1	英语
三角形	triangle	String	^[a-zA-Z\s\-]+$	1	英语
长方形	rectangle	String	^[a-zA-Z\s\-]+$	1	英语
正方形	square	String	^[a-zA-Z\s\-]+$	1	英语
十一	eleven	String	^[a-zA-Z\s\-]+$	1	英语
十二	twelve	String	^[a-zA-Z\s\-]+$	1	英语
十三	thirteen	String	^[a-zA-Z\s\-]+$	1	英语
十四	fourteen	String	^[a-zA-Z\s\-]+$	1	英语
十五	fifteen	String	^[a-zA-Z\s\-]+$	1	英语
十六	sixteen	String	^[a-zA-Z\s\-]+$	1	英语
十七	seventeen	String	^[a-zA-Z\s\-]+$	1	英语
十八	eighteen	String	^[a-zA-Z\s\-]+$	1	英语
十九	nineteen	String	^[a-zA-Z\s\-]+$	1	英语
二十	twenty	String	^[a-zA-Z\s\-]+$	1	英语
衣服	clothes	String	^[a-zA-Z\s\-]+$	1	英语
T恤	T-shirt	String	^[a-zA-Z\s\-]+$	1	英语
长裤	pants	String	^[a-zA-Z\s\-]+$	1	英语
短裤	shorts	String	^[a-zA-Z\s\-]+$	1	英语
夹克	jacket	String	^[a-zA-Z\s\-]+$	1	英语
毛衣	sweater	String	^[a-zA-Z\s\-]+$	1	英语
短裙	skirt	String	^[a-zA-Z\s\-]+$	1	英语
连衣裙	dress	String	^[a-zA-Z\s\-]+$	1	英语
鞋	shoe	String	^[a-zA-Z\s\-]+$	1	英语
袜子	sock	String	^[a-zA-Z\s\-]+$	1	英语
食物	food	String	^[a-zA-Z\s\-]+$	1	英语
饮料	drink	String	^[a-zA-Z\s\-]+$	1	英语
米	rice	String	^[a-zA-Z\s\-]+$	1	英语
面条	noodles	String	^[a-zA-Z\s\-]+$	1	英语
饺子	jiaozi	String	^[a-zA-Z\s\-]+$	1	英语
豆腐	tofu	String	^[a-zA-Z\s\-]+$	1	英语
蔬菜	vegetables	String	^[a-zA-Z\s\-]+$	1	英语
肉	meat	String	^[a-zA-Z\s\-]+$	1	英语
鱼	fish	String	^[a-zA-Z\s\-]+$	1	英语
鸡肉	chicken	String	^[a-zA-Z\s\-]+$	1	英语
面包	bread	String	^[a-zA-Z\s\-]+$	1	英语
牛奶	milk	String	^[a-zA-Z\s\-]+$	1	英语
冰激凌	ice-cream	String	^[a-zA-Z\s\-]+$	1	英语
果汁	juice	String	^[a-zA-Z\s\-]+$	1	英语
鸡蛋	egg	String	^[a-zA-Z\s\-]+$	1	英语
色拉	salad	String	^[a-zA-Z\s\-]+$	1	英语
汉堡	hamburger	String	^[a-zA-Z\s\-]+$	1	英语
蛋糕	cake	String	^[a-zA-Z\s\-]+$	1	英语
